addr:housenumber,addr:street,building
47,St. Remy Drive,detached
21,Langholm Crescent,detached
10,Teevens Drive,detached
38,Berkshire Way,terrace
87,Fable Street,detached
10,Langholm Crescent,detached
24,Laming Street,detached
52,Melville Drive,detached
4,Barran Street,detached
78,Stradwick Avenue,detached
26,Teevens Drive,detached
82,Larkin Drive,detached
62,St. Remy Drive,detached
133,Stradwick Avenue,detached
15,Blueridge Court,detached
5,St. Remy Drive,detached
5,Carroll Court,detached
10,Jerrilynn Crescent,detached
24,Phylis Street,detached
144 A,Larkin Drive,house
2,Jerrilynn Crescent,detached
66,Melville Drive,detached
5,Blueridge Court,detached
9,Melville Drive,detached
14,Roberta Crescent,detached
33,Phylis Street,detached
34,Phylis Street,detached
111,Larkin Drive,detached
7,Barran Street,detached
3,St. Remy Drive,detached
32,Laming Street,detached
14,Andrea Crescent,detached
22,St. Remy Drive,detached
35,Barrhaven Crescent,detached
18,Raftus Square,detached
36,Fable Street,house
18,Blueridge Court,detached
37,Teevens Drive,detached
93,Stradwick Avenue,detached
25,Jerrilynn Crescent,detached
21,Barran Street,detached
39,Phylis Street,detached
36,St. Remy Drive,detached
11,Laming Street,detached
31,Melville Drive,detached
134,Larkin Drive,detached
117,Stradwick Avenue,detached
6,Jerrilynn Crescent,detached
19,Langholm Crescent,detached
6,Teevens Drive,detached
95,Larkin Drive,detached
35,Roberta Crescent,detached
35,Andrea Crescent,detached
50,Melville Drive,detached
9,Roberta Crescent,detached
9,Bajan Street,detached
28,Teevens Drive,detached
43,Phylis Street,detached
137,Larkin Drive,detached
62,Melville Drive,detached
17,Blueridge Court,detached
41,Roberta Crescent,detached
82,Melville Drive,detached
25,Andrea Crescent,detached
36,Langholm Crescent,detached
92,Melville Drive,detached
117,Larkin Drive,detached
42,Ettrick Crescent,detached
23,Andrea Crescent,detached
41,Barrhaven Crescent,detached
1,Bajan Street,detached
2,Blueridge Court,detached
7,Melville Drive,detached
32,Ettrick Crescent,detached
29,Phylis Street,detached
32,Phylis Street,detached
29,Roberta Crescent,detached
67,Larkin Drive,detached
